station_id,id,nome,observation_datetime,m15
52,52,Parque Silva Vale 3,2024-10-21 11:40:00+00:00,60.2
52,52,Parque Silva Vale 3,2024-10-21 11:30:00+00:00,60.0
62,62,Rua BrÃ­cio de Moraes 1,2024-11-09 21:15:00+00:00,60.0
10,10,Cantagalo 1,2024-03-02 05:50:00+00:00,60.0
22,22,EspÃ­rito Santo 1,2024-01-11 20:15:00+00:00,60.0
64,64,Salgueiro 1,2024-04-18 11:45:00+00:00,59.4
18,18,Comandante Luiz Souto 1,2024-10-24 20:20:00+00:00,55.0
10,10,Cantagalo 1,2024-03-02 06:00:00+00:00,54.4
62,62,Rua BrÃ­cio de Moraes 1,2024-11-09 21:10:00+00:00,54.0
54,54,PavÃ£o-PavÃ£ozinho 2,2024-05-25 20:40:00+00:00,48.6
54,54,PavÃ£o-PavÃ£ozinho 2,2024-05-25 20:50:00+00:00,48.2
64,64,Salgueiro 1,2024-04-18 11:40:00+00:00,43.6
38,38,Matriz 1,2024-11-22 00:30:00+00:00,40.0
10,10,Cantagalo 1,2024-03-05 22:50:00+00:00,40.0
54,54,PavÃ£o-PavÃ£ozinho 2,2024-10-01 20:50:00+00:00,40.0
29,29,Jardim do Carmo 1,2024-02-04 21:10:00+00:00,39.2
10,10,Cantagalo 1,2024-03-02 05:40:00+00:00,38.6
3,3,AndaraÃ­ 1,2024-10-27 03:50:00+00:00,37.0
24,24,Formiga 1,2024-12-20 19:50:00+00:00,36.6
22,22,EspÃ­rito Santo 1,2024-01-11 20:00:00+00:00,36.0
